# list2_planets: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 1488768 candidate stars
# score: P_A * P(m2<13 MJ), ms_offset < 0.2 (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
258,5042444235757847296,0.55469571,0.55469571,1,322,0.081989,False,False,False,False,False
259,1276875089700429952,0.55450084,0.55450084,1,323,-0.041042,False,False,False,False,False
260,4977562531344161408,0.55370821,0.57677938,0.96,324,0.11162,False,False,False,False,False
261,6856077189625042688,0.55339321,0.65880144,0.84,325,-0.347174,False,False,False,False,False
262,4404653102818671104,0.55286412,0.72745279,0.76,326,-0.121298,False,False,False,False,False
263,6041641988908636032,0.55283809,0.55283809,1,327,0.134766,False,False,False,False,False
264,1458459916064300288,0.55249956,0.57552037,0.96,328,0.116766,False,False,False,False,False
265,3461973752040992000,0.55230762,0.57532044,0.96,329,-0.096832,False,False,False,False,False
266,1197038485256515328,0.55220485,0.55220485,1,330,0.132563,False,False,False,False,False
267,2564020472698316416,0.55188003,0.68985003,0.8,331,-0.280464,False,False,False,False,False
268,4864744121414768128,0.5517611,0.57475115,0.96,332,-0.006608,False,False,False,False,False
269,2590679197266003200,0.55146586,0.76592481,0.72,333,0.010776,False,False,False,False,False
270,6500382704136408064,0.55073242,0.55073242,1,335,-0.00039,False,False,False,False,False
271,4739382444180814336,0.55039699,0.62545113,0.88,337,-0.03936,False,True,False,False,False
272,394177946510277248,0.55020269,0.55020269,1,338,-0.542356,False,False,False,False,False
273,6788346448719408000,0.54918827,0.54918827,1,341,-0.429149,False,False,False,False,False
274,3648368254580017408,0.54870851,0.65322442,0.84,342,0.135729,False,False,True,False,False
275,3727748630418376704,0.54870841,0.54870841,1,343,-0.688271,False,False,False,False,False
276,4568060562432051584,0.54780519,0.54780519,1,345,0.055669,False,False,False,False,False
277,1458082886652959104,0.54757385,0.54757385,1,346,-0.208526,False,False,False,False,False
278,2028065934962125184,0.5473006,0.5473006,1,347,-0.204276,False,False,False,False,False
279,5060193995564745728,0.54641449,0.62092556,0.88,348,0.145082,False,False,False,False,False
280,6537148826779472512,0.54632649,0.54632649,1,349,-0.039384,False,False,False,False,False
281,6306750631945510016,0.54608864,0.6826108,0.8,350,-0.009841,False,False,False,False,False
282,4347903528137563136,0.54527069,0.64913178,0.84,351,-0.230455,False,False,True,False,False
283,3716608138087936128,0.54474186,0.54474186,1,353,-0.336517,False,False,False,False,False
284,3943234217765374336,0.5440067,0.5440067,1,354,-0.356481,False,False,False,False,False
285,2060325262521404160,0.54393314,0.54393314,1,355,-0.324545,False,False,False,False,False
286,1467576173127694464,0.54382249,0.54382249,1,356,-0.262324,False,False,False,False,False
287,2458183815576180864,0.5436593,0.5436593,1,357,-0.062999,False,False,False,False,False
288,6272325816233230848,0.54354781,0.75492751,0.72,358,-0.092278,False,False,False,False,False
289,4663897706775519744,0.54300129,0.54300129,1,359,-0.12528,False,False,False,False,False
290,6292376372837063808,0.54165497,0.54165497,1,360,-0.003024,False,False,False,False,False
291,4043533145964992896,0.54120349,0.75167152,0.72,361,-0.152679,False,False,False,False,False
292,3652796572020424448,0.54086166,0.54086166,1,362,-0.372143,False,False,False,False,False
293,374419894358485760,0.54068771,0.54068771,1,363,0.096636,False,False,False,False,False
294,5130073422706364544,0.54060504,0.54060504,1,364,-0.452186,False,False,False,False,False
295,6809703667900602112,0.53973292,0.74962905,0.72,366,0.033694,False,False,False,False,False
296,774537776343846656,0.53892531,0.58578838,0.92,368,0.171974,False,False,False,False,False
297,3733148950498224768,0.53831452,0.53831452,1,369,-0.03007,False,False,False,False,False
298,520593986679054976,0.53816123,0.53816123,1,370,-0.054871,False,False,True,False,False
