# list1_substellar: Gaia Wobble Bet, list built from MANIFEST 0.19
# date 2026-09-25
# git 3e128b1bfb6307d10ea729ae131533238e9160dd
# population: Gaia DR3, parallax_over_error >= 10, 2234316 candidate stars
# score: P_A (an ordering score, not a calibrated probability)
# rank_new skips known DR3 orbit <80 MJ, known planets and Gaia neighbours within 2.0 arcsec
# the frozen bet is rank_new <= 100
rank_new,source_id,score,p_a,p_m2_lt13,rank_raw,ms_offset,known_dr3_orbit80,known_dr3_orbit_any,dr3_acceleration,known_planet,neighbour_2arcsec
134,6450733363229084544,0.76846369,0.76846369,0.2,200,0.578263,False,False,False,False,False
135,4247324568122196608,0.76832455,0.76832455,0.72,201,0.41376,False,False,True,False,False
136,4154580109515780992,0.76795583,0.76795583,0.2,202,0.60524,False,False,False,False,False
137,2261455900896162176,0.76780925,0.76780925,0.56,204,-0.073372,False,True,False,False,False
138,4116429426932764416,0.76758434,0.76758434,0.44,206,1.066163,False,False,False,False,False
139,1255242919976781952,0.76746705,0.76746705,0.48,207,0.147203,False,False,False,False,False
140,1372546413931606016,0.76745431,0.76745431,0.6,208,0.667834,False,False,False,False,False
141,4734231060405586560,0.76732173,0.76732173,0.28,211,0.326219,False,True,False,False,False
142,3173680600645518848,0.76730574,0.76730574,1,212,0.85484,False,False,False,False,False
143,815474621470643968,0.76721715,0.76721715,0.68,213,-0.071251,False,False,False,False,False
144,1768825106253209984,0.76714595,0.76714595,1,214,0.061258,False,False,False,False,False
145,3130496697350801408,0.76708962,0.76708962,0.24,215,0.693389,False,False,True,False,False
146,1327542647092300288,0.7670493,0.7670493,0.6,216,0.721899,False,False,False,False,False
147,3306618462752390784,0.76701406,0.76701406,0.32,217,0.610373,False,False,False,False,False
148,6029172908689590912,0.76700547,0.76700547,0.48,218,0.358958,False,False,False,False,False
149,1125248622298625152,0.766978,0.766978,0.6,219,0.531729,False,False,False,False,False
150,5984545965001715584,0.76687833,0.76687833,0.4,220,0.522792,False,False,True,False,False
151,2076388715062352768,0.76685375,0.76685375,0.48,221,0.015345,False,False,True,False,False
152,1641352680227622656,0.76684114,0.76684114,0.8,222,0.112404,False,False,False,False,False
153,1380153247688639744,0.76680645,0.76680645,0.92,223,0.036457,False,False,False,False,False
154,1369142325931901824,0.766739,0.766739,0.52,224,0.595915,False,False,False,False,False
155,5796963577569724800,0.76671583,0.76671583,0.4,225,0.678678,False,False,False,False,False
156,2430776534043924992,0.76640322,0.76640322,0.28,226,0.668883,False,False,False,False,False
157,503311003919911168,0.76638682,0.76638682,0.2,227,-0.209012,False,False,True,False,False
158,3544847551198727552,0.76637565,0.76637565,0.52,229,0.586169,False,False,False,False,False
159,1976966956670519936,0.76636781,0.76636781,0.6,230,0.591109,False,False,True,False,False
160,4146632495835735424,0.7663214,0.7663214,0.08,232,-0.175063,False,False,True,False,False
161,6887855373472834944,0.76632014,0.76632014,0.92,233,0.004067,False,False,False,False,False
162,2590679197266003200,0.76592481,0.76592481,0.72,235,0.010776,False,False,False,False,False
163,3637980098784983936,0.76578846,0.76578846,0.88,236,0.065427,False,False,False,False,False
164,1106845580792191872,0.76572953,0.76572953,0.56,237,-0.097379,False,False,False,False,False
165,1600692568433316224,0.76570686,0.76570686,0.56,238,-0.034424,False,False,False,False,False
166,5050376043921995264,0.76547353,0.76547353,0.4,239,0.282377,False,False,False,False,False
167,4206618517355209088,0.76535122,0.76535122,0.56,240,-0.119526,False,False,False,False,False
168,5335390451689991040,0.76530745,0.76530745,0.32,241,0.185165,False,False,False,False,False
